local_time,conditions,temperature,pressure,humidity,staion
2018-01-01T00:00:00Z,Clear,17.6,1075.0628055259585,74.89688492312992,CBR
2018-02-01T00:00:00Z,Clear,17.1,1076.882811654359,74.89688492312992,CBR
2018-03-01T00:00:00Z,Rain,15.5,973.7400468904525,94.89688492312992,CBR
2018-04-01T00:00:00Z,Clear,13.2,1089.9425586499274,74.89688492312992,CBR
2018-05-01T00:00:00Z,Clear,10.8,1073.1425194442272,74.89688492312992,CBR
2018-06-01T00:00:00Z,Clear,8.9,1089.2850224021822,74.89688492312992,CBR
2018-07-01T00:00:00Z,Clear,8.2,1072.4715276062489,74.89688492312992,CBR
2018-08-01T00:00:00Z,Rain,8.8,958.9948678389192,94.89688492312992,CBR
2018-09-01T00:00:00Z,Clear,10.5,1076.5982244815677,74.89688492312992,CBR
2018-10-01T00:00:00Z,Rain,12.9,972.938325246796,94.89688492312992,CBR
2018-11-01T00:00:00Z,Clear,15.2,1087.32585221529,74.89688492312992,CBR
2018-12-01T00:00:00Z,Clear,16.9,1079.0992760844529,74.89688492312992,CBR
2019-01-01T00:00:00Z,Clear,17.6,1067.486738730222,74.89688492312992,CBR
2018-01-01T00:00:00Z,Clear,21.1,1084.1540891762822,74.89688492312992,SYD
2018-02-01T00:00:00Z,Clear,20.7,1091.8972876753658,74.89688492312992,SYD
2018-03-01T00:00:00Z,Rain,19.1,1013.5149663958698,94.89688492312992,SYD
2018-04-01T00:00:00Z,Rain,16.7,996.3195984710007,94.89688492312992,SYD
2018-05-01T00:00:00Z,Clear,14.3,1087.3964563842862,74.89688492312992,SYD
2018-06-01T00:00:00Z,Rain,12.5,999.1819008152931,94.89688492312992,SYD
2018-07-01T00:00:00Z,Clear,11.8,1086.441142623499,74.89688492312992,SYD
2018-08-01T00:00:00Z,Rain,12.4,1005.349441859126,94.89688492312992,SYD
2018-09-01T00:00:00Z,Clear,14.1,1117.861941055581,74.89688492312992,SYD
2018-10-01T00:00:00Z,Clear,16.4,1116.6166042994707,74.89688492312992,SYD
2018-11-01T00:00:00Z,Clear,18.7,1093.110979887843,74.89688492312992,SYD
2018-12-01T00:00:00Z,Clear,20.5,1117.8790835376828,74.89688492312992,SYD
2019-01-01T00:00:00Z,Clear,21.1,1092.0561815045774,74.89688492312992,SYD
2018-01-01T00:00:00Z,Clear,30.8,1092.9491680908948,74.89688492312992,BNE
2018-02-01T00:00:00Z,Clear,30.3,1116.2970771875232,74.89688492312992,BNE
2018-03-01T00:00:00Z,Clear,28.7,1094.044096102193,74.89688492312992,BNE
2018-04-01T00:00:00Z,Clear,26.4,1093.2405426401644,74.89688492312992,BNE
2018-05-01T00:00:00Z,Clear,24,1111.5839007638394,74.89688492312992,BNE
2018-06-01T00:00:00Z,Rain,22.2,983.0994040939956,94.89688492312992,BNE
2018-07-01T00:00:00Z,Clear,21.5,1084.6206784483045,74.89688492312992,BNE
2018-08-01T00:00:00Z,Clear,22.1,1088.8953007061034,74.89688492312992,BNE
2018-09-01T00:00:00Z,Clear,23.8,1111.5041089851409,74.89688492312992,BNE
2018-10-01T00:00:00Z,Clear,26.1,1116.8170716103166,74.89688492312992,BNE
2018-11-01T00:00:00Z,Clear,28.4,1084.2963108375668,74.89688492312992,BNE
2018-12-01T00:00:00Z,Clear,30.1,1080.1780378773808,74.89688492312992,BNE
2019-01-01T00:00:00Z,Clear,30.8,1090.7810584317892,74.89688492312992,BNE
2018-01-01T00:00:00Z,Rain,20.3,1006.657768638432,94.89688492312992,MEL
2018-02-01T00:00:00Z,Clear,19.8,1074.800949554518,74.89688492312992,MEL
2018-03-01T00:00:00Z,Clear,18.2,1074.3490688983352,74.89688492312992,MEL
2018-04-01T00:00:00Z,Clear,15.7,1090.2258110806347,74.89688492312992,MEL
2018-05-01T00:00:00Z,Clear,13.2,1085.1898572050036,74.89688492312992,MEL
2018-06-01T00:00:00Z,Rain,11.4,989.0130546610802,94.89688492312992,MEL
2018-07-01T00:00:00Z,Clear,10.6,1096.6951994333417,74.89688492312992,MEL
2018-08-01T00:00:00Z,Rain,11.2,983.9600352864712,94.89688492312992,MEL
2018-09-01T00:00:00Z,Clear,13,1086.5615971401335,74.89688492312992,MEL
2018-10-01T00:00:00Z,Clear,15.4,1097.9707843266428,74.89688492312992,MEL
2018-11-01T00:00:00Z,Rain,17.8,1002.031066288799,94.89688492312992,MEL
2018-12-01T00:00:00Z,Clear,19.6,1092.2567478675396,74.89688492312992,MEL
